-36 1
-30 1
-20 2
-16 2
-15 1
-13 3
-12 3
-11 4
-10 5
-9 14
-8 11
-7 20
-6 46
-5 142
-4 81
-3 136
-2 355
-1 394
0 218
x 1
1 203
2 185
3 271
4 1006
5 196
6 140
7 89
8 69
9 68
10 27
11 33
12 54
13 25
14 31
15 54
16 26
17 31
18 25
19 23
20 13
21 22
22 12
23 7
24 3
25 9
26 10
27 9
28 5
29 3
30 9
31 8
32 10
33 7
34 6
35 11
36 3
37 7
38 2
39 2
40 8
41 4
42 6
43 7
44 7
45 4
46 8
47 3
48 3
49 4
50 4
51 2
52 2
53 3
54 4
55 1
58 1
59 1
60 3
61 3
63 1
64 1
65 6
66 3
67 1
68 3
69 4
71 3
72 4
73 2
74 1
75 4
77 2
78 2
79 1
81 2
82 1
86 1
88 2
90 1
91 1
92 3
95 2
97 1
107 2
108 1
112 1
116 1
117 2
119 1
121 1
128 1
135 1
136 1
143 2
146 2
149 2
155 1
167 1
169 2
170 1
173 1
180 2
184 1
190 1
197 1
200 1
208 1
210 1
215 1
218 1
232 1
239 1
250 1
269 1
270 1
276 1
295 1
407 1
414 1
506 1
507 1
522 1
836 1
139785 1
